N.S. Allinson,Academy of Natural Sciences,Member
John Barnes,Academy of Natural Sciences,Member
Edward Barton,Academy of Natural Sciences,Member
Nicholas Biddle,Academy of Natural Sciences,Member
Moses Brown,Academy of Natural Sciences,Member
George T Bowen,Academy of Natural Sciences,Member
William Y Birch,Academy of Natural Sciences,Member
Charles Lucien Bonapart,Academy of Natural Sciences,Member
Charles N Bancker,Academy of Natural Sciences,Member
John M Brewer,Academy of Natural Sciences,Member
Robert Montgomery Bird,Academy of Natural Sciences,Member
Alexander Dallas Bache,Academy of Natural Sciences,Member
Marmaduke Burrough,Academy of Natural Sciences,Member
Joseph Miguel Carrera Verdugo,Academy of Natural Sciences,Member
Zaccheus Collins,Academy of Natural Sciences,Member
Isaac Cleaver,Academy of Natural Sciences,Member
Caleb Carmalt,Academy of Natural Sciences,Member
Edward Clark,Academy of Natural Sciences,Member
Reynell Coates,Academy of Natural Sciences,Member
Benjamin H. Coates,Academy of Natural Sciences,Member
David Connor,Academy of Natural Sciences,Member
George W. Carpenter,Academy of Natural Sciences,Member
John Y. Clark,Academy of Natural Sciences,Member
Solomon W. Conrad,Academy of Natural Sciences,Member
Judah Dobson,Academy of Natural Sciences,Member
Joseph H. Dulles,Academy of Natural Sciences,Member
Rudolph Dietz,Academy of Natural Sciences,Member
John Eberle,Academy of Natural Sciences,Member
Robert Frazier,Academy of Natural Sciences,Member
Joseph Fisher,Academy of Natural Sciences,Member
Thomas Fisher,Academy of Natural Sciences,Member
Jacob Gilliams,Academy of Natural Sciences,Member
H. Gordon,Academy of Natural Sciences,Member
Robert E. Griffith,Academy of Natural Sciences,Member
Lewis Gilliams,Academy of Natural Sciences,Member
George W. Farman,Academy of Natural Sciences,Member
John D. Godman,Academy of Natural Sciences,Member
Paul Beck Goddard,Academy of Natural Sciences,Member
Reuben Haines,Academy of Natural Sciences,Member
Robert Hare,Academy of Natural Sciences,Member
Richard Harlan,Academy of Natural Sciences,Member
Isaac Hayes,Academy of Natural Sciences,Member
Charles Hedelius,Academy of Natural Sciences,Member
William Herschel,Academy of Natural Sciences,Member
Samuel Hazard,Academy of Natural Sciences,Member
Thomas P Jones,Academy of Natural Sciences,Member
Thomas C. James,Academy of Natural Sciences,Member
Augustus E. Jessup,Academy of Natural Sciences,Member
Walter R. Johnson,Academy of Natural Sciences,Member
William H. Keating,Academy of Natural Sciences,Member
John M Keagy,Academy of Natural Sciences,Member
Isaih Lukins,Academy of Natural Sciences,Member
John Lea Jr.,Academy of Natural Sciences,Member
Isaac Lea,Academy of Natural Sciences,Member
Joshua Longstreth,Academy of Natural Sciences,Member
Charles Lesuer,Academy of Natural Sciences,Member
R. La Roche,Academy of Natural Sciences,Member
Camillus Mc Mahon,Academy of Natural Sciences,Member
John Manners,Academy of Natural Sciences,Member
George A Madiera,Academy of Natural Sciences,Member
Thomas McEwan,Academy of Natural Sciences,Member
Samuel George Morton,Academy of Natural Sciences,Member
John K. Mitchell,Academy of Natural Sciences,Member
William Maclure,Academy of Natural Sciences,Member
Henry J. Markland,Academy of Natural Sciences,Member
George Ord,Academy of Natural Sciences,Member
N.S. Parmentier,Academy of Natural Sciences,Member
Rubens Peale,Academy of Natural Sciences,Member
Jacob Pearce,Academy of Natural Sciences,Member
Robert M. Patterson,Academy of Natural Sciences,Member
Titian Peale,Academy of Natural Sciences,Member
Charles A. Poulson,Academy of Natural Sciences,Member
Caspar W. Pennock,Academy of Natural Sciences,Member
Jonas Preston,Academy of Natural Sciences,Member
C. Paul,Academy of Natural Sciences,Member
Saul T. Penrose,Academy of Natural Sciences,Member
Robert E. Peterson,Academy of Natural Sciences,Member
Joseph Rotch,Academy of Natural Sciences,Member
Richard Randolph,Academy of Natural Sciences,Member
Caleb Richardson,Academy of Natural Sciences,Member
Thomas Rotch,Academy of Natural Sciences,Member
C. S. Rafinesque,Academy of Natural Sciences,Member
Charles M. Reese,Academy of Natural Sciences,Member
James Read,Academy of Natural Sciences,Member
M.M. Reeve,Academy of Natural Sciences,Member
John Shinn Jr.,Academy of Natural Sciences,Member
John Speakman,Academy of Natural Sciences,Member
Thomas Say,Academy of Natural Sciences,Member
Joseph Stouse,Academy of Natural Sciences,Member
Benjamin Say,Academy of Natural Sciences,Member
William Strickland,Academy of Natural Sciences,Member
E. B. Stockton,Academy of Natural Sciences,Member
Charles W. Smith,Academy of Natural Sciences,Member
Jacob R. Smith,Academy of Natural Sciences,Member
Daniel B. Smith,Academy of Natural Sciences,Member
William Stuart,Academy of Natural Sciences,Member
George Shackman,Academy of Natural Sciences,Member
Joseph P. Smith,Academy of Natural Sciences,Member
Andrew B. Spence,Academy of Natural Sciences,Member
Henry Steinham,Academy of Natural Sciences,Member
Henry Seybert,Academy of Natural Sciences,Member
G. Troost,Academy of Natural Sciences,Member
R. Vause,Academy of Natural Sciences,Member
Lardner Vanuxem,Academy of Natural Sciences,Member
John Vaughan,Academy of Natural Sciences,Member
Alexander Wilson,Academy of Natural Sciences,Member
Benjamin Warner,Academy of Natural Sciences,Member
Jonathan F. Waterhouse,Academy of Natural Sciences,Member
William S. Warden,Academy of Natural Sciences,Member
Joseph Woolens,Academy of Natural Sciences,Member
William Wagner,Academy of Natural Sciences,Member
Joseph Watson,Academy of Natural Sciences,Member
Tobias Wagner,Academy of Natural Sciences,Member
George B. Wood,Academy of Natural Sciences,Member
Henry J. Williams,Academy of Natural Sciences,Member
William W. Wood,Academy of Natural Sciences,Member
