,college,original_name,city,state,established,sponsorship,location,lon,lat,period,type
1,Harvard,,Cambridge,MA,1636,Congregational; after 1805 Unitarian,Cambridge MA,-71.10973,42.37362,Colonial,sectarian
2,William and Mary,,Williamsburg,VA,1693,Anglican,Williamsburg VA,-76.70746,37.2707,Colonial,sectarian
3,Yale,,New Haven,CT,1701,Congregational,New Haven CT,-72.92788,41.30827,Colonial,sectarian
4,"Pennsylvania, Univ. of",,Philadelphia,PA,1740,Nondenominational,Philadelphia PA,-75.16379,39.95233,Colonial,sectarian
5,Princeton,College of New Jersey,Princeton,NJ,1746,Presbyterian,Princeton NJ,-74.66722,40.3573,Colonial,sectarian
6,Columbia,King's College,New York,NY,1754,Anglican,New York NY,-74.00594,40.71278,Colonial,sectarian
7,Brown,,Providence,RI,1765,Baptist,Providence RI,-71.41283,41.82399,Colonial,sectarian
8,Rutgers,Queen's College,New Brunswick,NJ,1766,Dutch Reformed,New Brunswick NJ,-74.45182,40.48622,Colonial,sectarian
9,Dartmouth,,Hanover,NH,1769,Congregational,Hanover NH,-72.28955,43.70225,Colonial,sectarian
10,"Charleston, Coll. Of",,Charleston,SC,1770,Anglican,Charleston SC,-79.93105,32.77647,Colonial,sectarian
11,Hampden-Sydney,,Hampden-Sydney,VA,1775,Presbyterian,Hampden-Sydney VA,-78.45972,37.24237,Colonial,sectarian
12,Transylvania,,Lexington,KY,1780,Disciples of Christ,Lexington KY,-84.50372,38.04058,Early National,sectarian
13,"Georgia, Univ. of",,Athens,GA,1785,Secular,Athens GA,-83.38333,33.95,Early National,secular
14,Georgetown,,Washington,DC,1789,Roman Catholic,Washington DC,-77.03687,38.90719,Early National,sectarian
15,"North Carolina, Univ. of",,Chapel Hill,NC,1789,Secular,Chapel Hill NC,-79.05584,35.9132,Early National,secular
16,"Vermont, Univ. of",,Burlington,VT,1791,Nondenominational,Burlington VT,-73.21207,44.47588,Early National,sectarian
17,Williams,,Williamstown,MA,1793,Congregational,Williamstown MA,-73.20369,42.71202,Early National,sectarian
18,"Tennessee, Univ. of",Blount College,Knoxville,TN,1794,Secular,Knoxville TN,-83.92074,35.96064,Early National,secular
19,Union College,,Schenectady,NY,1795,Presbyterian with Congregational,Schenectady NY,-73.93957,42.81424,Early National,sectarian
20,Marietta,,Marietta,OH,1797,Congregational,Marietta OH,-81.45484,39.41535,Early National,sectarian
21,U.S. Military Academy,,West Point,NY,1802,Secular,West Point NY,-73.95597,41.39148,Early National,secular
22,Ohio Univ.,,Athens,OH,1804,Secular,Athens OH,-82.10126,39.32924,Early National,secular
